ST-CD	YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	ANNUAL
DE-01	1985	1.64	2.3	2.07	0.66	5.16	2.28	6.37	3.25	5.47	2.11	4.74	0.96	37
DE-01	1986	4.38	3.41	1.4	3.18	1.43	2.83	3.77	3.4	2.05	3.54	6.32	6.48	42.18
DE-01	1987	4.83	1.33	1.7	3.3	3.79	2.24	3.79	2.57	5.96	2.36	3.99	2.12	37.98
DE-01	1988	2.42	3.93	2.1	3.15	5.9	0.78	6.41	4.41	2.61	2.09	5.61	0.95	40.36
DE-01	1989	2.64	3.15	4.44	2.98	7	6.11	12.15	2.6	4.98	4.77	2.07	0.97	53.86
DE-01	1990	4.36	1.64	2.43	3.67	7.63	4.07	4	6.27	2.58	2.63	1.85	5.22	46.35
DE-01	1991	4.21	1.05	4.56	3.26	1.87	3.72	4.46	4.55	5.17	1.52	1.61	4.23	40.22
DE-01	1992	1.27	2.05	4.35	1.75	4.43	3.15	4.37	2.78	4.74	1.35	4.31	4.44	39.01
DE-01	1993	2.85	3.05	7.29	5.87	3.23	2.82	3.03	2.87	6.91	3.08	3.2	4.04	48.23
DE-01	1994	4.99	3.18	7.1	3.03	3.96	1.97	8.72	4.54	2.72	0.86	3.06	2.32	46.45
DE-01	1995	3.57	2.42	2.5	2.12	3.85	1.53	3.19	2.2	4.58	7.91	4.42	2.18	40.47
DE-01	1996	5.05	1.98	4.38	5.44	3.93	5.19	7.23	3.66	4.87	5.54	3.22	8.34	58.83
DE-01	1997	2.45	2.22	4.99	2.5	2.13	2.64	2.96	3.69	1.97	2.18	3.79	2.69	34.22
DE-01	1998	4.96	3.36	4.97	3.01	4.22	4.29	2.17	2.32	2.01	2.69	1.31	1.15	36.46
DE-01	1999	6.08	3.53	4.56	3.29	3.25	1.83	1.44	5.35	12.81	3.68	2.24	2.95	51
DE-01	2000	3.25	2	8.58	3.37	3.26	5.1	4.86	3.04	6.24	0.49	2.37	3.56	46.1
DE-01	2001	2.92	2.89	5.77	1.66	4.81	4.65	1.87	3.48	2.73	0.86	1.11	2.14	34.88
DE-01	2002	2.8	0.45	4.45	2.84	4.07	4.02	1.68	2.49	3.13	6.95	4.7	4.92	42.5
DE-01	2003	2.74	5.66	4.66	2.75	3.98	9.23	2.62	5.6	8.52	5.05	3.69	5.02	59.53
DE-01	2004	1.78	2.45	3.32	5.7	3.76	6.19	9.26	4.25	8.37	2.63	4.61	2.98	55.3
DE-01	2005	3.99	2.29	4.35	5.26	2.14	2.2	4.75	1.92	0.85	8.4	2.71	3.37	42.23
DE-01	2006	3.87	1.77	0.66	4.05	2.03	9.98	5.01	2.26	6.63	5.81	4.7	1.93	48.7
DE-01	2007	4.02	1.82	4.26	7.37	1.77	3.45	3.37	4.16	0.71	6.41	1.87	4.81	44.03
DE-01	2008	1.67	4.29	4.18	2.34	4.4	2.57	5.3	1.4	5.17	2.29	3.38	4.59	41.57
DE-01	2009	2.38	0.42	1.94	4.41	4.17	5.83	3.88	7.42	4.75	7.08	2.28	7.71	52.26
DE-01	2010	2.41	5.11	5.94	2.5	2.39	1.68	7.09	1.95	5.09	5.96	2.27	2.49	44.86
DE-01	2011	2.85	2.4	4.69	4.66	3.5	2.53	2.32	13.45	6.49	3.72	3.98	4.6	55.2
DE-01	2012	2.58	1.71	1.26	2.5	2.88	3.54	2.36	3.53	5.2	7.49	1.1	4.18	38.34
DE-01	2013	3.71	1.97	2.58	2.26	2.64	11.55	5.15	4.95	1.88	3.49	2.43	4.73	47.34
DE-01	2014	2.84	5.02	3.89	7	3.35	4.14	4.35	3.7	2.76	2.97	3.9	3.07	46.98
DE-01	2015	3.91	1.93	4.97	3.54	1.45	10.81	3.31	1.87	3.75	3.83	2.23	4.99	46.57
DE-01	2016	2.06	4.43	2.03	2.31	-999	-999	-999	-999	-999	-999	-999	-999	-999
DE-02	1895	4.67	1.69	3.68	5.39	4	3.05	3.34	3.15	2.27	2.86	2.3	2.11	38.52
DE-02	1896	1.55	6.98	4.5	1.4	4.51	5.79	5.6	2.14	3.66	3.38	2.2	1.37	43.09
DE-02	1897	2.35	5.5	2.82	3.25	3.57	3.33	8.3	3.69	1.4	5.75	3.24	3.88	47.06
DE-02	1898	3.22	1.86	3.15	3.66	4.5	2.61	3.88	4.99	3.13	4.26	4.42	3.33	43.03
DE-02	1899	3.6	6.2	5.47	1.52	2.28	1.9	6.38	5.21	2.84	3.63	1.98	1.57	42.58
DE-02	1900	3.48	4.36	3.68	2.06	3.23	4.22	2.52	2.86	3.09	3.19	2.68	2.76	38.13
DE-02	1901	3.46	0.72	3.27	4.91	3.55	2.44	4.79	6.77	2.45	1.8	2.09	5.86	42.11
DE-02	1902	3.64	5.32	3.41	3.85	2	6.89	3.55	1.71	5.9	4.96	3.21	5.36	49.8
DE-02	1903	3.77	6.07	6.76	3.61	1.87	3.96	4.55	4.94	3.3	6.89	1.56	3.92	51.19
DE-02	1904	1.93	2.36	3.43	2.68	1.84	3.55	6.3	2.11	2.64	2.71	2.1	5.52	37.18
DE-02	1905	4.31	3.93	2.95	2.95	3.52	3.72	6.12	6.61	4.42	1.46	0.82	4.8	45.6
DE-02	1906	2.95	4.16	5.89	1.83	3.29	7.98	7.19	8.6	1.66	4.56	1.76	3.49	53.37
DE-02	1907	2.39	2.32	3.14	3.87	6.95	5.21	3.55	3.68	5.54	3.09	6.36	4.34	50.43
DE-02	1908	3.4	3.92	1.94	2.85	6.37	1.9	5.04	5.94	2.44	2.23	1.33	4.71	42.06
DE-02	1909	3.02	3.68	3.96	4.62	4.28	5.29	2.47	3.43	3.06	1.41	2.16	3.92	41.3
DE-02	1910	4.71	1.68	2.98	4.24	2.43	6.44	3.71	4.06	1.12	6.28	2.53	3.41	43.6
DE-02	1911	4.16	2.15	3.36	3.88	0.65	3.34	2.68	10.97	1.98	2.93	5.56	3.91	45.56
DE-02	1912	3.95	2.68	7.18	2.59	4.54	2.24	4.18	1.99	3.99	1.82	2.63	4.12	41.91
DE-02	1913	3.58	1.82	3.32	4.5	3.93	2.89	2.23	3.53	3.92	4.82	1.33	2.49	38.38
DE-02	1914	3.64	2.68	3.67	2.96	2.48	3.73	4.13	4.1	0.73	1.7	2.27	6.53	38.63
DE-02	1915	6.15	3.91	1.42	2.09	3.62	5.18	3.41	8.75	1.11	4.74	0.89	3.15	44.41
DE-02	1916	1.85	3.92	3.3	2.4	5.26	4.02	4.56	1.45	3.98	1.84	2.27	4.58	39.43
DE-02	1917	2.96	2.5	7.63	2.99	3.1	4.93	6.17	3.46	2.54	7.89	0.44	2.23	46.85
DE-02	1918	4.5	1.16	4.35	4.95	3.22	2.77	2.91	1.75	4.01	1.3	1.01	3.83	35.76
DE-02	1919	4.28	2.96	4.03	4.19	5.84	2.1	8.49	10.24	1.97	3.25	3.25	3.1	53.71
DE-02	1920	3.38	6.06	4.02	4	2.05	5.81	5.3	8.49	2.3	1.3	6.65	3.37	52.73
DE-02	1921	2.54	3.54	2.77	3.7	3.94	2.11	3.51	2.87	1.55	1.13	4.08	2.53	34.27
DE-02	1922	4.55	3.96	4.9	2.23	2.03	5.33	7.62	5.97	2.64	1.56	0.93	5.09	46.81
DE-02	1923	4.84	3.19	6.61	4.04	1.11	2.83	6.06	3.37	3.13	3.84	3.2	2.79	45.01
DE-02	1924	3.99	3.58	5.61	5.44	5.42	4.79	2.66	4.78	5.66	0.59	2.19	3.01	47.73
DE-02	1925	5.8	2.12	2.24	2.77	1.1	1.99	5.8	4.07	0.88	4.03	2.98	2.88	36.65
DE-02	1926	3.06	3.88	2.33	2.03	2.75	2.52	10.72	7.52	3.16	2.27	3.61	3.84	47.69
DE-02	1927	1.39	3.84	1.89	3.13	3.49	3.65	5.67	4.7	1.51	4.38	2.66	4.52	40.82
DE-02	1928	2.88	2.9	2.88	5.85	1.96	4.95	3.94	8.95	7.26	1.06	1.71	2.49	46.82
DE-02	1929	2.46	4.98	4.1	6.59	2.03	3.82	1.65	2.56	3.44	4.15	2.44	2.44	40.67
DE-02	1930	3.72	1.82	1.79	1.95	3.14	2.74	3.25	1.65	2.16	1.65	2.07	2.01	27.96
DE-02	1931	1.98	1.48	5.42	3.32	4.02	3.48	2.79	10.15	2.56	2.8	0.94	2.36	41.3
DE-02	1932	5.41	2.85	6.22	2.77	4.88	3.84	2.8	2.03	2.08	6.94	4.65	4.03	48.5
DE-02	1933	4.11	4	2.48	5.13	5.03	2.57	5.75	13.3	3.02	1.17	1.83	3.98	52.36
DE-02	1934	1.92	4.76	6.1	2.76	7.51	2.18	6.8	4.96	8.13	2.18	3.55	2.54	53.38
DE-02	1935	5.53	3.36	3.36	3.92	3.48	5.1	4.62	3.92	12.88	2.78	5.07	2.48	56.48
DE-02	1936	7.31	5.06	5.29	3.08	1.24	3.98	4.16	5.73	5.43	3.47	0.96	5.21	50.91
DE-02	1937	9.46	3.03	2.72	5.86	4.23	6.1	3.32	8.97	1.6	6.03	4.59	1.25	57.15
DE-02	1938	3.29	2.72	3.19	2.01	4.83	4.09	11.24	2.9	8.22	2.79	3.26	2.73	51.27
DE-02	1939	4.04	5.7	5.76	5.51	0.83	2.77	3.29	10.38	2.88	4.41	1.81	1.48	48.86
DE-02	1940	2.97	3.2	4.04	5.27	5.59	1.6	2.79	5.86	3.21	1.91	5.03	2.15	43.63
DE-02	1941	3.94	2.48	2.8	3.67	1.63	4.85	6.78	3.87	0.17	2.02	1.53	3.61	37.37
DE-02	1942	3.32	1.91	7.44	0.94	2.31	3.39	5.29	8.2	3.13	4.46	2.37	3.64	46.39
DE-02	1943	3.12	2.9	4.32	3.24	3.37	3.14	2.56	1.19	3.19	5.76	2.14	1.68	36.6
DE-02	1944	4.47	2.74	6.55	4.71	1.71	2.64	2.27	3.53	6.98	3.19	5.43	2.97	47.18
DE-02	1945	3.28	3.75	1.47	3.56	4.22	5.08	10.66	3.09	4.2	3.27	3.69	7.61	53.88
DE-02	1946	2.27	2.55	3.36	2.71	5.47	3.85	6.04	4.68	2.82	2.11	2.28	2.1	40.25
DE-02	1947	5.34	1.36	1.86	3.8	4.81	3.31	3.4	3.62	3.83	1.8	4.64	2.53	40.29
DE-02	1948	7.94	3.01	4.01	3.11	11.62	5.23	5.41	6.08	2.02	5.25	7.06	5.56	66.29
DE-02	1949	5.19	4.24	4.05	2.63	3.55	1.16	2.28	5.5	3.86	5.02	2.62	1.25	41.37
DE-02	1950	2.01	2.77	4.14	2.22	4.3	3.46	4.31	1.74	5.75	1.17	3.32	2.44	37.63
DE-02	1951	1.69	2.65	3.31	2.69	3.43	4.87	4.96	3.49	2.61	2.9	5.99	4.87	43.45
DE-02	1952	5.49	2.71	5.56	5.47	4.51	2.61	3.39	8.07	2.25	1.12	5.66	3.7	50.54
DE-02	1953	3.84	3.33	5.13	4.32	5.43	3.24	3.3	9.12	1.74	3.67	3.01	2.78	48.91
DE-02	1954	2.72	1.45	3.78	4.47	2.88	1.02	4.09	4.96	4.96	2.17	4.09	3.68	40.29
DE-02	1955	0.61	2.96	3.84	3.06	2.07	6.33	2.19	9.84	3.32	4.34	2.15	1	41.7
DE-02	1956	2.9	3.33	3.96	2.27	2.81	3.9	7.51	2.9	3.91	6.73	4.31	3.75	48.29
DE-02	1957	2.38	3.7	3.77	1.78	1.56	5.01	1.12	2.61	4.62	2.84	4.69	5.94	40.02
DE-02	1958	3.55	4.22	7.21	4.77	4.37	4.61	6.18	11.41	2.02	3.05	2.77	2.87	57.02
DE-02	1959	1.52	1.71	3.55	3.66	1.49	2.21	11.62	4.69	1.02	4.5	5.2	3.25	44.41
DE-02	1960	2.4	4.29	2.31	2.31	4.32	2.48	6.57	3.64	7.95	3.89	1.79	3.14	45.09
DE-02	1961	3.05	5.81	4.66	3.45	5.24	4.13	4.1	3.64	2.99	6.04	1.87	4.31	49.29
DE-02	1962	4.43	3.95	3.99	3.82	1.49	4.15	3.15	2.33	3.33	1.25	5.69	3.66	41.23
DE-02	1963	2.42	1.94	6.9	1.23	2.84	4.41	1.99	2.73	5.04	0.17	6.27	2.39	38.32
DE-02	1964	4.74	5.1	3.44	5.02	0.37	1.3	3.63	1.52	4.82	2.78	1.92	2.84	37.48
DE-02	1965	3.4	1.54	3.84	2.42	0.84	2.69	5.52	6.65	3.04	0.98	0.72	0.71	32.36
DE-02	1966	3.19	3.6	1.63	4.41	4.65	3.69	1.73	1.44	5.45	4.7	1.25	3.97	39.72
DE-02	1967	1.66	3.31	2.41	1.95	4.63	3.69	4.64	14.64	3.2	2.2	1.99	5.84	50.15
DE-02	1968	2.26	1.15	4.56	1.64	3.65	3.43	2.02	1.56	1.79	2.27	3.67	2.74	30.75
DE-02	1969	2.82	2.99	3.76	3.76	1.83	2.88	8.09	8.33	3.38	1.27	2.54	7.92	49.56
DE-02	1970	2.05	2.82	4.34	4.7	2.91	5.66	5.05	2.7	0.96	3.72	3.3	3.73	41.95
DE-02	1971	2.96	5.74	2.5	2.91	5.7	1.63	3.69	7.35	4.31	6.52	3.55	2.53	49.4
DE-02	1972	3.41	5.8	2.4	4.07	4.95	8.03	2.91	3.09	4.25	5.41	6.13	5.72	56.16
DE-02	1973	3.07	3.11	2.83	4.14	3.91	3.08	2.89	7.92	3.09	3.03	1.71	5.95	44.74
DE-02	1974	3.45	2.04	4.63	1.8	4.75	4.76	0.81	5.71	3.45	1.89	0.89	5.09	39.27
DE-02	1975	5.53	3.27	6.04	4.19	4.04	3.91	9.19	3.33	6.62	3.68	3.7	2.71	56.21
DE-02	1976	5.59	1.89	2.2	1.21	2.81	1.66	3.94	5.33	3.91	8.59	1.22	3.04	41.39
DE-02	1977	2.75	1.88	2.07	2.34	1.9	2.81	2.08	3.51	4.67	3.81	5.21	7.64	40.66
DE-02	1978	7.32	1.09	6.43	2.82	6.2	2.41	5.21	6.54	0.95	1.62	3.74	4.49	48.81
DE-02	1979	7.66	6.24	4.22	3.4	4.37	4.88	3.92	7.66	5.44	4.11	4.37	1.69	57.97
DE-02	1980	3.57	1.2	6.5	5.01	2.31	3.49	3.26	2.99	3.01	6.49	2.67	0.87	41.37
DE-02	1981	0.53	3.81	2.03	4.51	5.06	3.76	2.29	4.37	4.26	2.86	0.92	4.52	38.91
DE-02	1982	4.08	3.62	3.28	4.48	1.76	4.36	4.19	2.9	2.32	2.37	4.86	2.92	41.14
DE-02	1983	2.04	3.66	6.7	7.22	5.14	4.66	2.13	5.29	4.01	3.55	5.05	5.62	55.08
DE-02	1984	3.36	4	7.5	4.57	7.63	2.48	4.73	2.25	1.94	2.53	2.63	1.65	45.27
DE-02	1985	2.92	2.87	2.39	0.52	4.83	2.91	3.81	9.44	5.8	2.16	4.11	1.17	42.93
DE-02	1986	4.05	3.29	1.45	2.04	0.94	2.37	2.86	5.04	1.14	2.74	4.16	6.71	36.78
DE-02	1987	7.12	1.87	3.22	2.88	3.24	1.97	3.14	1.56	2.79	2.81	3.49	3.04	37.14
DE-02	1988	3.68	4.31	3.1	2.98	4.28	0.87	6.14	3.62	2.52	2.74	4.71	0.64	39.58
DE-02	1989	2.77	3.34	7.43	5.67	4.41	6.66	8.08	7.16	5.92	3.94	3.43	1.5	60.31
DE-02	1990	3.52	2.11	3.64	3.84	7.79	1.49	5.48	5.77	2.13	2.74	1.67	3.78	43.96
DE-02	1991	5.39	1.28	5.98	3.35	1.5	3.37	5.85	4.75	4.25	2.7	0.76	5.2	44.38
DE-02	1992	1.41	3.43	3.92	1.6	3.98	2.86	3.6	8.56	5.26	1.7	3.44	3.95	43.71
DE-02	1993	3.55	2.53	6.96	4.29	3.11	2.78	2.12	4.54	3.86	4.3	3.46	4.94	46.42
DE-02	1994	4.82	5.78	9.12	3.05	3.16	2.57	5.98	4.95	4.14	1.11	3.85	1.71	50.25
DE-02	1995	3.35	2.29	2.37	2.34	4.63	2.65	3.56	1.08	3.97	6.05	4.36	2.39	39.04
DE-02	1996	4.99	2.97	3.69	4.51	6.41	5.52	6.53	4.75	6.15	4.73	1.81	7.98	60.05
DE-02	1997	2.63	3.31	5.23	3.52	3.14	2.59	2.94	5.17	2.55	3.31	7.22	3.12	44.72
DE-02	1998	6.89	6.23	5.55	3.02	4.64	3.93	1.86	3.76	2.18	2.26	1.25	2.99	44.55
DE-02	1999	6.02	2.68	5.14	2.73	1.21	2.31	2.49	4.57	9.99	4.06	2.04	2.65	45.9
DE-02	2000	3.74	2.16	6.84	3.88	3.56	4.76	7.07	5.17	5.77	0.12	2.5	2.73	48.3
DE-02	2001	3.02	3.04	5.55	1.88	3.64	5.36	6.33	5.94	2.06	1.11	0.43	2.03	40.39
DE-02	2002	2.72	0.79	4.62	4.41	3.18	2.55	2.89	3.04	7.41	8	6.09	4.09	49.77
DE-02	2003	1.5	6.84	3.7	3.56	5.01	5.86	5.97	5.6	5.22	3.98	5.48	6.13	58.85
DE-02	2004	2.67	2.21	2.53	5.72	2.73	3.29	5.46	7.39	3.01	1.92	4.84	2.68	44.45
DE-02	2005	4.38	2.21	4.15	3.3	5.18	4.95	5.4	2.76	0.43	8.4	3.7	3.99	48.86
DE-02	2006	3.97	1.42	0.21	2.91	1.94	9.71	5.64	1.12	7.04	5.69	5.68	1.98	47.32
DE-02	2007	4.03	2.62	3.23	5.2	1.11	3.28	2.35	3.4	1.55	4.89	1.49	4.84	38
DE-02	2008	1.82	3.65	2.79	3.69	5.95	3.75	4.27	1.24	4.21	1.82	5.16	5.66	44.02
DE-02	2009	2.41	0.49	2.38	5.48	5.18	5.8	2.41	8.23	5.75	6.74	5.24	7.78	57.88
DE-02	2010	2.97	3.78	6.5	1.67	2.31	2.23	4.32	4.56	3.44	7.02	1.8	2.67	43.28
DE-02	2011	3.13	2.3	4.09	3.11	2.4	2.33	4.15	10.08	3.83	2.7	2.68	3.59	44.39
DE-02	2012	2.16	2.02	1.34	2.17	2.96	3.18	2.84	5.86	3.5	8.54	0.95	4.65	40.18
DE-02	2013	3.06	2.98	3.58	3.7	2.57	9.38	6.1	4.98	1.13	4.51	2.51	4.39	48.9
DE-02	2014	3.04	3.79	3.08	4.01	3.95	2.48	3.97	4.87	3.84	2.7	3.56	3.94	43.22
DE-02	2015	5.14	2.16	4.56	3.63	1.67	9.43	3.89	3.47	3.62	3.9	3.11	5.03	49.62
DE-02	2016	2.61	4.23	2.4	2.68	-999	-999	-999	-999	-999	-999	-999	-999	-999
FL-01	1895	7.48	3.03	6.29	4.21	3.92	6.21	7.34	7.2	2.27	1.82	1.5	2.92	54.18
FL-01	1896	4.21	5.73	5.23	1.82	2.59	8.2	9.87	4.12	1.87	3.7	6.01	3.62	56.96
FL-01	1897	1.66	9.75	8.41	4.68	1.39	3.13	5.84	8.51	3.69	1.65	1.8	3.46	53.98
FL-01	1898	1.84	3.46	2.16	2.56	1.21	4.19	7.72	15.4	5.13	5.07	6.54	5.22	60.47
FL-01	1899	4.45	4.89	4.38	2.22	1.67	4.37	5.91	8.12	1.12	4.06	1.91	3.44	46.53
FL-01	1900	2.6	8.96	6.73	4.91	2.17	10.71	7.99	3.09	3.53	6.28	1.99	5.98	64.95
FL-01	1901	3.44	5.42	6.91	4.04	5.11	3.97	6.45	9.84	6.11	1.53	1.05	3.6	57.49
FL-01	1902	1.14	7.08	10.59	1.2	3.06	5.04	4.51	4.17	8.66	3.83	4.09	4.26	57.62
FL-01	1903	4.1	6.04	5.36	1.05	5.83	6.29	5.95	6.16	6.21	2.93	4.93	3.29	58.14
FL-01	1904	4.66	3.42	2.41	1.94	2.25	3.28	5.56	9.3	1.87	0.24	2.91	4.27	42.13
FL-01	1905	4.56	6.95	4.32	2.24	6.64	3.9	5.76	7.18	4.83	4.26	1.58	8.43	60.66
FL-01	1906	5.94	3.13	5	0.68	4.77	4.98	7.77	6.71	10.62	3.75	1.38	3.38	58.12
FL-01	1907	1.77	2.95	1.47	7.52	4.59	4.28	8.54	7.36	11.57	1.33	4.27	10.43	66.08
FL-01	1908	4.62	4.93	3.15	6.03	3.57	4.13	7.02	5.46	4.2	1.39	0.77	1.57	46.83
FL-01	1909	1.05	4.17	3.98	4.48	3.89	5.91	8.02	6.03	3.56	1.93	0.68	5.92	49.63
FL-01	1910	2.25	5.87	2.22	3.38	1.45	9.68	8.22	4.09	2.66	3.58	3.27	2.38	49.05
FL-01	1911	2.4	0.83	3.92	4.85	2.93	4.44	6.13	8.36	3.37	4.96	4.17	8.51	54.88
FL-01	1912	5.35	6.13	6.1	11.09	3.41	5.2	6.87	7.56	9.73	2.76	4.46	3.9	72.57
FL-01	1913	2.98	5.25	8.89	1.75	2.86	5.74	6.53	4.81	6.76	3.35	0.83	3.1	52.84
FL-01	1914	4.12	8.91	2.64	1.34	0.8	3.96	4.76	6.49	7.39	3.34	4.44	4	52.19
FL-01	1915	8.72	4.43	3.65	0.68	7.44	4.42	4.85	5.05	4.39	6.88	2	2.81	55.32
FL-01	1916	2.2	2.49	1.84	3.34	3.09	5.52	17.58	4.58	3.16	3	2.08	6.74	55.62
FL-01	1917	5.26	4.22	3.16	1.86	2.85	3.55	7.64	8.18	5.5	0.8	1.15	1.96	46.13
FL-01	1918	4.09	1.79	1.29	7.91	2.71	4.12	4.51	7.33	4.25	5.51	6.91	7.43	57.85
FL-01	1919	4.14	8.99	6.01	4.73	6.4	4.62	10.19	8.36	1.81	3.17	4	3.2	65.63
FL-01	1920	5.13	4.72	3.2	8.18	4.83	4.84	5.57	8.46	5.53	1.91	4.06	6.72	63.16
FL-01	1921	2.11	2.08	2.95	4.35	4.4	2.8	7.86	5.44	1.99	2.57	3.54	3.21	43.31
FL-01	1922	3.56	4.98	6.06	2.13	8.1	6.3	5.37	5.75	3.77	4.75	1.08	6.13	57.99
FL-01	1923	3.72	4.06	5.09	4.27	7.04	10.53	7.76	7.66	2.31	3.61	3.16	2.42	61.62
FL-01	1924	6.09	3.91	3.53	4.68	3.53	6.63	8.72	3.93	13.88	1.45	0.38	6.85	63.59
FL-01	1925	7.49	2.71	1.42	1.41	2.22	4.46	5.7	3.57	1.63	5.53	4.91	5.09	46.14
FL-01	1926	8.46	5.7	6.96	3.99	2.81	4.98	7.09	9.78	10.45	2.53	4.09	2	68.83
FL-01	1927	0.39	5.56	2.78	0.82	1.12	8.81	6.47	5.04	3.07	2.78	1.27	7.82	45.92
FL-01	1928	1.02	7.05	7.4	11.7	2.46	6.77	7.32	9.43	7.54	3.38	1.28	2.63	67.98
FL-01	1929	5.47	5.25	8.12	4.79	4.36	7.85	7.15	5.35	8.3	5.25	3.25	2.91	68.04
FL-01	1930	6.23	2.33	7.04	2.88	1.32	3.52	6.38	3.04	9.08	2.04	10.13	3.1	57.09
FL-01	1931	3.36	3.36	4.09	1.88	2.02	2.17	7.77	7.07	2.14	1.82	0.21	6.42	42.31
FL-01	1932	7.11	2.2	3.95	1.79	6.89	6.86	4.41	10.38	7.63	5.95	3.95	3.7	64.82
FL-01	1933	4.23	6.24	5.97	10.57	1.68	3.12	9.64	4.89	2.01	0.98	0.58	1.49	51.39
FL-01	1934	2.37	4.34	5.34	2.92	5.39	5.43	7.8	6.99	2.19	4.99	3.52	1.8	53.09
FL-01	1935	1.98	5.17	2.89	5.25	5.2	2.89	9.28	12.27	5.73	0.32	2.59	3.72	57.28
FL-01	1936	11.01	5.9	2.62	4.55	3.31	3.05	7.75	8.65	3.71	3.93	0.86	4.75	60.08
FL-01	1937	2.9	5.31	4.91	7.44	4.3	6.57	5.44	10.06	8.31	4.3	5.15	1.89	66.57
FL-01	1938	2.56	1.87	3.26	3.54	3.81	5.63	8.26	4	3.9	1.06	1.18	2.85	41.93
FL-01	1939	2.97	6.14	2.38	5.23	5.66	9.56	7.41	13.99	4.66	0.28	1.58	3.4	63.26
FL-01	1940	2.53	6.84	4.47	3.51	2.47	6.58	11.63	5.77	1.49	0.29	4.58	6.87	57.04
FL-01	1941	2.15	2.42	5.91	2.24	1.33	6.68	11.05	5.67	5.03	3.56	1.67	6.18	53.89
FL-01	1942	7.14	7.16	8.52	1.63	5.13	8.91	6.97	7.13	7.42	1.12	1.14	5.17	67.44
FL-01	1943	4.43	1.59	7.41	2.25	5.02	5.18	6.79	4.07	5.09	0.47	2.64	3.71	48.66
FL-01	1944	3.71	4.35	9.37	7.36	2.36	3.45	8.52	9.67	9.34	0.95	4	1.55	64.64
FL-01	1945	5.16	3.33	2.02	6.42	3.53	3.52	10.03	6.64	6.25	2.46	1.2	7.74	58.29
FL-01	1946	5.67	3.18	9.9	2.19	10.81	5.75	10.03	7.13	6.85	1.5	3.43	0.77	67.22
FL-01	1947	6.6	2.27	9.46	7.66	7.03	6.3	4.27	6.38	6.32	2.98	11.88	5.54	76.7
FL-01	1948	5.02	1.64	13.94	8.35	2.7	3.63	13.95	6.92	6.58	3.87	7.17	4.89	78.67
FL-01	1949	2.28	4.91	5.37	8.18	2.11	7.36	10.77	6.83	3.11	3.47	1.15	2.45	58
FL-01	1950	1.07	1.81	6.95	5.95	3.11	3.72	9.25	7.85	3.29	1.59	0.78	3.09	48.47
FL-01	1951	2.3	1.32	7.73	3.53	3.89	5.35	6.44	3.93	6.05	0.83	6.22	5.86	53.44
FL-01	1952	1.63	7.48	4.91	3.57	4.1	2.35	3.74	9.89	4.99	0.7	1.86	2.94	48.15
FL-01	1953	4.14	6.43	2.84	8.69	2.35	7.23	6.58	6.08	8.8	1.18	4.28	12.19	70.8
FL-01	1954	1.31	2.62	3.18	2.02	2.65	2.94	6.03	2.76	2.78	1.69	2.55	2.35	32.89
FL-01	1955	3.82	3.18	1.12	5.32	3.34	3.42	8.42	6.67	3.36	2.59	1.1	1.25	43.6
FL-01	1956	4.2	5.12	4.27	2.03	3.73	6.38	8.74	3.84	8.53	4.42	0.51	2.84	54.59
FL-01	1957	0.71	1.8	4.93	5.44	4.86	8.14	6.35	4.09	17.5	2.44	6.24	1.87	64.37
FL-01	1958	4.41	4.19	5.99	7.28	5.17	7.04	8.02	4.83	3.7	1.86	2.49	2.52	57.52
FL-01	1959	4.69	5.86	8.99	5.03	6.75	6.71	7.36	6.04	6.12	10.83	1.06	2.58	72.01
FL-01	1960	4.08	6.83	4.32	7.18	3.32	4.62	6.97	7.05	8.49	3.32	1.37	2.7	60.24
FL-01	1961	3.89	5.6	4.9	5.19	3.68	6.43	5.13	9.96	3.13	0.29	2.82	6	57.01
FL-01	1962	3.55	3.21	5.44	5.27	0.8	5.25	5.58	4.24	5.51	2.24	5.31	2.95	49.34
FL-01	1963	6.3	4.75	2.02	1.69	3.31	8.16	8.23	4.73	5.83	0.24	4.35	5.43	55.03
FL-01	1964	8.77	7.58	5.42	8.54	2.72	5.57	10.99	8.54	4.78	8.58	3.35	7.16	82
FL-01	1965	3.55	6.62	7	4.93	0.5	11.33	6.8	6.07	6.81	4.12	2.3	4.14	64.17
FL-01	1966	7.34	9.24	3.41	1.87	5.44	3.94	5.96	7.35	6.6	3.11	2.53	4.61	61.41
FL-01	1967	6.1	4.98	1.86	1.03	3.45	6.91	6.37	7.95	3.01	4.27	2.11	6.05	54.1
FL-01	1968	2.25	2.59	2.23	2.05	3.44	3.07	5.97	5.12	3.46	2.28	4.14	5.61	42.21
FL-01	1969	1.21	4.31	7.24	2.56	5.71	2.8	12.46	6.95	8.7	2.17	1.76	5.17	61.04
FL-01	1970	4.66	5.26	8.88	2.34	3.36	7.31	6.56	10.1	3.12	6.7	1.87	3.15	63.3
FL-01	1971	2.69	6.28	5.13	2.6	4.03	4.01	9.04	6.69	3.26	2.38	2.39	4.76	53.24
FL-01	1972	5.34	5.62	5.59	0.95	4.91	7.76	3.37	4.19	1.81	3.03	5.17	5.48	53.21
FL-01	1973	6.15	5.1	10.03	8.5	6.13	5.35	6.08	5.82	6.11	1.25	3.48	5.93	69.93
